exp10,exp15,exp20,exp25,exp30
12.210419178009033,10.73957371711731,12.115884065628052,13.44482946395874,18.747482299804688
12.140494346618652,14.97680115699768,14.981765270233154,18.185550689697266,21.192227363586426
16.145153999328613,14.42671537399292,18.47088098526001,21.602368116378784,28.375596046447754
15.926194190979004,15.576935052871704,20.557103395462036,18.333227157592773,27.30367350578308
19.069775104522705,18.71461796760559,20.199296236038208,17.777957439422607,25.1207013130188
18.851003885269165,22.5120747089386,19.861484050750732,23.767404317855835,25.76521611213684
18.091959476470947,26.536379098892212,20.345502376556396,26.17438578605652,29.507521867752075
20.346301078796387,28.572019577026367,23.668373346328735,29.956886291503906,30.646696090698242
26.463140964508057,32.774152994155884,25.741350173950195,33.93827700614929,39.441914319992065
30.277170181274414,34.551419496536255,24.04956603050232,34.20000982284546,41.0714066028595
30.527230501174927,33.88493752479553,24.26336145401001,38.434937715530396,48.396615505218506
31.642853260040283,35.10057854652405,25.467870950698853,41.95183205604553,50.90648365020752
34.58872604370117,34.04972290992737,27.294872522354126,38.85560870170593,52.55729413032532
31.350279808044434,32.648857831954956,35.55450987815857,37.012839794158936,54.75628423690796
32.610676765441895,33.77414846420288,37.69127798080444,39.896350145339966,54.9116415977478
32.94787669181824,32.92029166221619,37.39652419090271,41.00917363166809,53.59755754470825
33.05637240409851,32.92364549636841,34.526264667510986,42.24370455741882,54.09295129776001
31.767781257629395,31.280750513076782,35.66423010826111,38.84259033203125,54.411292552948
33.32721662521362,33.08063626289368,37.635135889053345,40.336305141448975,55.188753604888916
33.99321174621582,33.10886263847351,37.18571400642395,43.66391611099243,52.75942277908325
27.02994680404663,33.6017324924469,37.007925271987915,42.56771516799927,55.218254804611206
31.287740230560303,38.739986419677734,33.59230875968933,40.76890587806702,53.09944796562195
27.408563375473022,34.409011125564575,36.84169101715088,42.01601791381836,53.0022668838501
33.23849439620972,32.0330913066864,37.96003293991089,42.415454387664795,53.78145956993103
32.636964321136475,34.5691556930542,37.599154472351074,41.74766159057617,54.72271680831909
34.477985858917236,35.71480369567871,38.242045879364014,41.52221918106079,53.559367656707764
30.62996006011963,38.07458281517029,35.15888786315918,40.928839921951294,52.77654671669006
31.087002992630005,35.25285077095032,37.78271555900574,42.308857679367065,52.56567072868347
31.29953408241272,37.52898287773132,36.73067879676819,42.54199767112732,52.95333194732666
36.81277823448181,36.53914761543274,35.84772300720215,39.278143644332886,54.73145365715027
31.14625120162964,34.06760239601135,36.471795082092285,43.14171767234802,55.60888385772705
24.742247343063354,33.42785120010376,35.98364758491516,42.57648682594299,54.503896713256836
27.208630084991455,34.141640424728394,36.45118808746338,41.816333055496216,53.25551700592041
25.445130348205566,32.17993378639221,37.2806658744812,42.18657159805298,52.62016582489014
24.27789616584778,29.824047803878784,36.528231620788574,42.681835412979126,53.00332975387573
27.156179428100586,32.49048042297363,35.284058809280396,41.95382881164551,53.115222454071045
31.378082036972046,30.71324634552002,35.327654123306274,43.235283613204956,55.68066477775574
30.79269027709961,33.40736484527588,36.22881364822388,40.7987642288208,60.34764361381531
27.06399631500244,30.387932777404785,36.598623275756836,42.114638805389404,60.67590570449829
28.17602300643921,33.738017559051514,36.80077266693115,43.63040280342102,57.96873712539673
33.22622489929199,31.968308210372925,37.59991693496704,42.75658130645752,60.53456139564514
29.26290774345398,32.27339506149292,36.01620841026306,43.844239234924316,58.93243169784546
25.889034509658813,31.053404569625854,37.17140793800354,43.020097494125366,56.82027459144592
28.092249870300293,27.476386070251465,36.55981755256653,41.661155223846436,57.91205930709839
30.335695266723633,26.92113733291626,35.81760311126709,41.44850277900696,54.79937267303467
32.710070848464966,28.568978786468506,35.88490295410156,41.448644161224365,57.92015814781189
29.267125844955444,28.23218011856079,37.787290811538696,42.62078022956848,52.58529305458069
32.89288067817688,27.67560887336731,36.47439885139465,42.50122809410095,55.18678641319275
30.306206464767456,26.492769956588745,35.71920943260193,42.85783362388611,54.11007118225098
30.019580602645874,26.810200214385986,38.57288861274719,42.185869216918945,54.72026515007019
